date,spatial_id,lat,lon,.geo,satellite,NDVI,NDWI,MNDWI,NDRE,IRECI,S2REP,VH,VV,Ratio,LST,Slope,week
2025-08-17,46.116593_12.835063,46.11659301551209,12.835062744819329,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.835062744819327,46.11659301551209]}","S1,S2",0.6917748917748918,-0.639261744966443,-0.5314628166712068,0.4468715290633099,8068.875502008032,720.2042287361845,-17.27457764679048,-10.825694440684256,-6.448883206106224,,2.82987117767334,2025-W33
2025-08-17,46.114204_12.831144,46.11420437283641,12.831143545687274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.831143545687274,46.11420437283641]}","S1,S2",0.6536212325686009,-0.6236749116607774,-0.5701311806256307,0.4111324376199616,5405.382007822686,718.8609271523179,-17.18750370694625,-10.183339867695306,-7.004163839250943,,2.285932779312134,2025-W33
2025-08-15,46.115641_12.831243,46.1156411757576,12.831243260936388,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.831243260936388,46.1156411757576]}",S2,0.7578199052132701,-0.6643482162889837,-0.5944700460829493,0.4931561996779388,6935.060365369341,720.6010191846523,,,,,1.6275701522827148,2025-W33
2025-08-17,46.11045_12.830365,46.11045009575394,12.83036537645161,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.83036537645161,46.11045009575394]}","S1,S2",0.7067108533554267,-0.6546184738955824,-0.5766674870785135,0.4345403899721448,6460.347290640394,719.2161270983213,-16.26169973540882,-9.674834984186484,-6.586864751222334,,1.8543341159820557,2025-W33
2025-08-17,46.114243_12.829981,46.11424337415688,12.829981447296417,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.829981447296415,46.11424337415688]}","S1,S2",0.7387127761767531,-0.6712834718374885,-0.6111414527580558,0.4465534465534465,6462.749458483755,718.6075563680682,-16.319170519010136,-9.538929703756295,-6.7802408152538405,,1.337695837020874,2025-W33
2025-08-16,46.111009_12.832475,46.11100935017219,12.83247481813662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.832474818136621,46.111009350172196]}",S1,,,,,,,-18.057757536765937,-10.134217211361465,-7.923540325404474,,0.9274099469184875,2025-W33
2025-08-16,46.115721_12.834226,46.11572104689033,12.834225608405424,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.834225608405424,46.11572104689033]}",S1,,,,,,,-17.531861789063,-10.931732571954807,-6.600129217108192,,0.9274099469184875,2025-W33
2025-08-15,46.110899_12.830397,46.11089909742852,12.830396526253454,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.830396526253454,46.11089909742852]}",S2,0.718057731036026,-0.6579572446555819,-0.5854488353834075,0.4871198915359287,7630.37915407855,722.1859706362153,,,,,0.0,2025-W33
2025-08-16,46.112335_12.833214,46.11233467170609,12.83321390950069,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.83321390950069,46.11233467170609]}",S1,,,,,,,-17.84675003673031,-10.84543835491396,-7.0013116818163486,,1.627503752708435,2025-W33
2025-08-16,46.109752_12.832388,46.10975214843603,12.832387552970298,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.832387552970298,46.10975214843603]}",S1,,,,,,,-16.96605579080976,-9.252316121586096,-7.713739669223665,,1.6274539232254028,2025-W33
